"UK_ID","NENDO","ANKEN_RIREKI_ID","THEME_NO","UK_APR","UK_MAY","UK_JUN","UK_JUL","UK_AUG","UK_SEP","UK_OCT","UK_NOV","UK_DEC","UK_JAN","UK_FEB","UK_MAR","UK_KAMIKI","UK_SHIMOKI","UK_TOTAL"
"160","2017","160",,"0","0","0","0","0","0","0","0","0","0","0","1000000","0","1000000","1000000"
"161","2017","161",,"0","0","0","0","0","0","0","0","0","0","0","5000000","0","5000000","5000000"
"162","2017","162",,"0","0","0","0","0","0","0","0","0","0","0","5000000","0","5000000","5000000"
"163","2017","163",,"0","0","0","0","0","0","0","0","0","0","0","5000000","0","5000000","5000000"
"164","2017","164",,"0","0","0","0","0","0","0","0","0","0","0","2000000","0","2000000","2000000"
"165","2017","165",,"0","0","0","0","0","0","0","0","0","0","0","800000","0","800000","800000"
"166","2017","166",,"0","0","0","0","0","0","0","0","0","0","0","1000000","0","1000000","1000000"
"167","2017","167",,"0","0","0","0","0","0","0","0","0","0","0","300000","0","300000","300000"
"168","2017","168",,"0","0","0","0","0","0","0","0","0","0","0","4000000","0","4000000","4000000"
"169","2017","169",,"0","0","0","0","0","0","0","0","0","0","0","700000","0","700000","700000"
"170","2017","170",,"0","0","0","0","0","0","0","0","0","0","0","3000000","0","3000000","3000000"
"171","2017","171",,"0","0","0","0","0","0","0","0","0","0","0","1000000","0","1000000","1000000"
"172","2017","172",,"0","0","0","0","0","0","0","0","0","0","0","10000000","0","10000000","10000000"
"173","2017","173",,"0","0","0","0","0","0","0","0","0","0","0","10000000","0","10000000","10000000"
"174","2017","174",,"0","0","0","0","0","5000000","0","0","0","0","0","15000000","5000000","15000000","20000000"
"175","2017","175",,"0","0","0","0","0","0","0","0","0","0","0","20000000","0","20000000","20000000"
"176","2017","176",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"177","2017","177",,"0","0","0","0","0","0","0","0","0","0","0","600000","0","600000","600000"
"178","2017","178",,"0","0","0","0","0","5000000","0","0","0","0","0","10000000","5000000","10000000","15000000"
"179","2017","179",,"0","0","0","0","0","0","0","0","0","0","0","2900000","0","2900000","2900000"
"180","2017","180",,"0","0","0","0","0","0","0","10000000","0","0","0","0","0","10000000","10000000"
"181","2017","181",,"0","0","0","0","0","0","10000000","0","0","0","0","0","0","10000000","10000000"
"182","2017","182",,"0","0","0","0","0","3000000","0","0","0","0","0","0","3000000","0","3000000"
"183","2017","183",,"0","0","0","0","0","0","0","0","0","0","0","1600000","0","1600000","1600000"
"184","2017","184",,"0","0","0","0","0","1000000","0","0","0","0","0","1000000","1000000","1000000","2000000"
"185","2017","185",,"0","0","0","0","0","5000000","0","0","0","0","0","10000000","5000000","10000000","15000000"
"186","2017","186",,"0","0","0","0","0","2000000","0","0","6000000","0","0","6000000","2000000","12000000","14000000"
"187","2017","187",,"0","0","0","0","0","0","0","0","0","0","0","5000000","0","5000000","5000000"
"188","2017","188",,"0","0","0","0","0","0","0","0","0","0","0","20000000","0","20000000","20000000"
"189","2017","189",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"190","2017","190",,"0","0","0","0","0","5000000","0","0","0","10000000","0","0","5000000","10000000","15000000"
"191","2017","191",,"0","0","0","0","0","0","0","0","0","0","0","4000000","0","4000000","4000000"
"192","2017","192",,"0","0","0","0","0","0","0","0","0","0","0","8000000","0","8000000","8000000"
"193","2017","193",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"194","2017","194",,"0","0","0","0","0","0","0","0","0","0","0","5000000","0","5000000","5000000"
"195","2017","195",,"0","0","0","0","0","0","0","0","0","0","0","20000000","0","20000000","20000000"
"196","2017","196",,"0","0","0","0","0","0","0","0","0","0","0","5000000","0","5000000","5000000"
"197","2017","197",,"0","0","0","0","0","0","0","0","0","0","0","700000","0","700000","700000"
"198","2017","198",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"199","2017","199",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"200","2017","200",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"201","2017","201",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202","2017","202",,"0","0","0","0","0","0","0","0","0","0","0","1000000","0","1000000","1000000"
"203","2017","203",,"0","0","0","0","0","0","0","0","0","0","0","921000","0","921000","921000"
"204","2017","204",,"0","0","0","0","0","0","0","0","0","0","0","350000","0","350000","350000"
"205","2017","205",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"206","2017","206",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"207","2017","207",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"208","2017","208",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"209","2017","209",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"210","2017","210",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"211","2017","211",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"212","2017","212",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"213","2017","213",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"214","2017","214",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"215","2017","215",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216","2017","216",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"217","2017","217",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"218","2017","218",,"0","0","0","0","0","0","0","0","0","0","0","250000","0","250000","250000"
"219","2017","219",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"220","2017","220",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"221","2017","221",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"222","2017","222",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"223","2017","223",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"224","2017","224",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"225","2017","225",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"226","2017","226",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"227","2017","227",,"0","0","0","0","0","0","0","0","0","0","0","1000000","0","1000000","1000000"
"228","2017","228",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"229","2017","229",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"230","2017","230",,"0","0","0","0","0","0","0","0","0","0","0","500000","0","500000","500000"
"231","2017","231",,"0","0","0","0","0","0","0","0","0","0","0","500000","0","500000","500000"
"232","2017","232",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"233","2017","233",,"0","0","560000","0","0","0","0","0","0","0","0","0","560000","0","560000"
"234","2017","234",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"235","2017","235",,"0","0","0","0","0","0","0","0","0","0","0","500000","0","500000","500000"
"236","2017","236",,"0","0","0","0","0","0","0","0","0","0","0","2000000","0","2000000","2000000"
"237","2017","237",,"0","0","0","0","0","0","0","0","0","0","0","193000","0","193000","193000"
"238","2017","238",,"0","0","0","0","0","0","0","0","0","0","0","10000000","0","10000000","10000000"
"239","2017","239",,"0","0","0","0","0","0","0","0","0","0","0","1500000","0","1500000","1500000"
"240","2017","240",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"241","2017","241",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"242","2017","242",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"243","2017","243",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"244","2017","244",,"0","0","0","0","0","0","0","0","0","0","0","300000","0","300000","300000"
"245","2017","245",,"0","0","0","0","0","0","0","0","0","0","0","700000","0","700000","700000"
"246","2017","246",,"0","0","0","0","0","0","0","0","0","0","0","700000","0","700000","700000"
"247","2017","247",,"0","0","0","0","0","0","0","0","0","0","0","2000000","0","2000000","2000000"
"248","2017","248",,"0","0","0","0","0","0","0","0","0","0","0","10000000","0","10000000","10000000"
"249","2017","249",,"0","0","0","0","0","0","0","0","0","0","0","3000000","0","3000000","3000000"
"250","2017","250",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"251","2017","251",,"0","0","0","0","0","0","0","0","0","0","0","2000000","0","2000000","2000000"
"252","2017","252",,"0","0","0","0","0","0","0","0","0","0","0","2000000","0","2000000","2000000"
"253","2017","253",,"0","0","0","0","0","0","0","0","0","0","0","6000000","0","6000000","6000000"
"254","2017","254",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"255","2017","255",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"256","2017","256",,"0","0","0","0","0","0","0","0","0","0","0","1000000","0","1000000","1000000"
"257","2017","257",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"258","2017","258",,"0","0","0","0","0","0","0","0","0","0","0","500000","0","500000","500000"
"259","2017","259",,"0","0","0","0","0","0","0","0","0","0","0","1200000","0","1200000","1200000"
"260","2017","260",,"0","0","0","0","0","0","0","0","0","0","0","1500000","0","1500000","1500000"
"261","2017","261",,"0","0","0","0","0","0","0","0","0","0","0","1500000","0","1500000","1500000"
"262","2017","262",,"0","0","0","0","0","0","0","0","0","0","0","500000","0","500000","500000"
"263","2017","263",,"0","0","0","0","0","0","0","0","0","0","0","1000000","0","1000000","1000000"
"264","2017","264",,"0","0","0","0","0","0","0","0","0","0","0","1400000","0","1400000","1400000"
"265","2017","265",,"0","0","0","0","0","0","0","0","0","0","0","800000","0","800000","800000"
"266","2017","266","25401-5780","0","0","0","0","0","0","0","0","0","0","0","300000","0","300000","300000"
"267","2017","267","25401-5780","0","0","0","0","0","0","0","0","0","0","0","2000000","0","2000000","2000000"
"268","2017","268",,"0","0","0","0","0","0","0","0","0","0","0","1000000","0","1000000","1000000"
"269","2017","269",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"270","2017","270",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"271","2017","271",,"0","0","0","0","0","0","0","0","0","0","0","2000000","0","2000000","2000000"
"272","2017","272",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"273","2017","273",,"0","0","0","0","0","0","0","0","0","0","0","100000","0","100000","100000"
"274","2017","274",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"275","2018","275","25401-5318","0","0","0","0","0","0","0","0","0","0","0","1377000","0","1377000","1377000"
"276","2018","276","25401-5317","0","0","0","0","0","0","0","0","0","0","0","1377000","0","1377000","1377000"
"277","2018","277","25401-5317","0","0","0","0","0","0","0","0","0","0","0","1377000","0","1377000","1377000"
"278","2018","278","25401-5318","0","0","0","0","0","0","0","0","0","0","0","1377000","0","1377000","1377000"
