"AUTH_ID","AUTH_NAME","UK_HISTORY_LOOK","UK_INSERT","UK_UPDATE","UK_DELETE","GK_INSERT","GK_UPDATE","THEME_INSERT","THEME_UPDATE","URIAGE_TANKA_UPDATE"
"0","開発全員","0","0","0","0","0","0","0","0","0"
"1","営業全員","1","1","1","1","0","0","0","0","0"
"2","事務","0","0","0","0","0","0","1","1","0"
"3","PJリーダ","0","0","0","0","1","1","0","0","0"
"4","PJ管理者","0","0","0","0","1","1","0","0","0"
"5","所属長","1","0","1","0","1","1","0","0","0"
"6","部門長","1","0","1","0","0","0","0","0","1"
"7","代表者","0","0","0","0","0","0","1","1","0"
